14295354;137292460;137292463;
14295354;137292463;137292467;
14295354;137292467;1154803015;
14297339;137332252;137332254;
14297339;137332254;137332257;
14297339;137332257;137332260;
14297339;137332260;137332262;
14297339;137332262;137332265;
14307321;1154802931;1154803107;
14307321;1154803107;1154803109;
14307321;1154803109;1154803114;
14307321;1154803114;137498756;
14307321;137498756;137292463;
14307321;137292463;137498759;
14309570;137537577;137537579;
14309929;137542744;137542747;
14309929;137542747;137292467;
14311702;1154804468;137319919;
14311702;137319919;137568344;
14311702;137568344;1154802791;
14311702;1154802791;137547668;
14311702;137547668;137433930;
14311702;137433930;137433933;
14311702;137433933;1154803890;
14311702;1154803890;137568331;
14311702;137568331;1154804675;
14312937;137332254;137585642;
14313477;137292460;137262504;
14313477;137262504;137594017;
14313589;137595282;137595284;
14317552;137332262;137537577;
14317552;137537577;137568344;
14317658;1154802890;1154803137;
14317658;1154803137;1154803140;
14317658;1154803140;1154803146;
14317658;1154803146;137654856;
14317658;137654856;1154803015;
14317658;1154803015;137319915;
14317658;137319915;1154803158;
14320201;137332260;137691571;
14323291;137679205;137738781;
96895428;1122711649;1122712306;
99884476;1154795584;1154795586;
99884476;1154795586;1154795588;
99884476;1154795588;1154795592;
99884556;1154799136;1154799137;
99884556;1154799137;1154799138;
99884556;1154799138;1154799140;
99884556;1154799140;1154799143;
99884556;1154799143;1154799146;
99884556;1154799146;1154799151;
99884556;1154799151;1154799156;
99884556;1154799156;1154799161;
99884556;1154799161;1154799182;
99884556;1154799182;1154799188;
99884559;1154799225;1154799232;
99884559;1154799232;1154799237;
99884559;1154799237;1154799244;
99884559;1154799244;1154799249;
99884559;1154799249;1154799254;
99884559;1154799254;1154799263;
99884567;1154799799;1154799806;
99884567;1154799806;1154799813;
99884567;1154799813;1154799817;
99884567;1154799817;1154799824;
99884567;1154799824;1154799862;
99884567;1154799862;1154799867;
99884568;1154799188;1154799876;
99884568;1154799876;1154799878;
99884568;1154799878;1154799884;
99884568;1154799884;1154799892;
99884568;1154799892;1154799899;
99884568;1154799899;1154799903;
99884568;1154799903;1154799907;
99884568;1154799907;1154799909;
99884568;1154799909;1154799911;
